timestamp,symbol,opening,high,low,closing,volume,trades,vwap,home_notional,foreign_notional,bin_size
2015-12-03 00:00:00+00:00,XBTUSD,364.1,367.18,346.67,359.96,1896192,2923,356.319,6756.49350479999,2407982.886743631,1d
2015-12-04 00:00:00+00:00,XBTUSD,359.96,372.7,355.0,362.32,1909147,2656,363.11,6932.30669709999,2517420.6984010288,1d
2015-12-05 00:00:00+00:00,XBTUSD,362.32,365.38,353.21,364.2,1174333,1674,359.419,4220.7797689,1517127.3293010376,1d
2015-12-06 00:00:00+00:00,XBTUSD,364.2,395.0,363.35,394.0,1884756,2848,379.072,7144.580550400009,2709594.490544054,1d
2015-12-07 00:00:00+00:00,XBTUSD,394.0,407.51,387.0,390.04,1995480,3651,396.534,7912.75074659999,3138001.1726382365,1d
2015-12-08 00:00:00+00:00,XBTUSD,390.04,405.62,384.0,396.7,1632998,2887,396.535,6475.401861699995,2568066.6475609145,1d
2015-12-09 00:00:00+00:00,XBTUSD,396.7,425.15,390.0,423.0,1589423,2125,403.232,6409.054562899992,2585690.2862038673,1d
2015-12-10 00:00:00+00:00,XBTUSD,423.0,428.7,407.5,422.14,3017529,4277,420.04,12674.8431865,5324334.186047933,1d
2015-12-11 00:00:00+00:00,XBTUSD,422.14,424.99,411.16,416.22,1725214,2702,417.913,7209.897295900018,3013240.4095127,1d
2015-12-12 00:00:00+00:00,XBTUSD,416.22,463.78,416.64,460.0,5284695,7412,441.197,23315.922406799997,10293252.46799699,1d
2015-12-13 00:00:00+00:00,XBTUSD,460.0,482.76,418.27,440.34,5297714,7939,445.591,23606.128776300015,10535925.917414952,1d
2015-12-14 00:00:00+00:00,XBTUSD,440.34,449.8,419.99,437.5,2447010,4297,438.985,10741.99828969998,4716282.648645261,1d
2015-12-15 00:00:00+00:00,XBTUSD,437.5,453.5,432.48,448.89,2231778,3209,445.887,9951.20520470002,4437451.741733685,1d
2015-12-16 00:00:00+00:00,XBTUSD,448.89,471.0,447.48,469.98,3419075,4956,459.429,15708.206245200012,7218021.928094246,1d
2015-12-17 00:00:00+00:00,XBTUSD,469.98,470.08,404.0,458.04,4154136,4348,455.59,18925.815861799976,8626303.694506677,1d
2015-12-18 00:00:00+00:00,XBTUSD,458.04,459.76,446.17,456.36,1152674,2024,454.388,5237.616015599998,2380020.9544253103,1d
2015-12-19 00:00:00+00:00,XBTUSD,456.36,468.33,443.05,464.96,1493527,2854,460.327,6875.111265899993,3165032.2008759864,1d
2015-12-20 00:00:00+00:00,XBTUSD,464.96,467.5,451.37,461.6,1481469,2303,461.637,6839.002070599998,3157312.932508692,1d
2015-12-21 00:00:00+00:00,XBTUSD,461.6,462.81,429.24,443.29,2584113,4398,445.541,11513.279281199983,5131680.678321688,1d
2015-12-22 00:00:00+00:00,XBTUSD,443.29,446.0,423.7,439.31,2103651,3628,436.475,9181.9101686,4008079.527867993,1d
2015-12-23 00:00:00+00:00,XBTUSD,439.31,443.39,433.47,436.56,829379,1821,438.844,3639.6783238999956,1597287.7826125643,1d
2015-12-24 00:00:00+00:00,XBTUSD,436.56,446.0,435.57,445.26,560732,1487,441.609,2476.244711400004,1093563.950196933,1d
2015-12-25 00:00:00+00:00,XBTUSD,445.26,459.31,439.49,457.33,1020329,1839,454.414,4636.517440899984,2107021.2627771073,1d
